,loss
0,0.45948384988155444
1,0.3459265999067058
2,0.30510443547514204
3,0.28587847102933855
4,0.2758698955114716
5,0.27012245493657044
6,0.26659024834060974
7,0.26451835400069446
8,0.2631320450256374
9,0.2622593674483076
10,0.2616714448658134
11,0.2610131162347824
12,0.2608285557899648
13,0.260583188170309
14,0.2602812321995621
15,0.2599299264106669
16,0.2599034216612387
17,0.25974754974849695
18,0.25959716265453203
19,0.2595870495160251
20,0.2594494799783489
21,0.2592787524816324
22,0.25914506723822306
23,0.25913711581657184
24,0.25922352161361717
25,0.2589567421850111
26,0.25896787554470463
27,0.25878277255782184
28,0.25860387385526956
29,0.258730967956057
30,0.2587284167914757
31,0.25873798246322666
32,0.2585881296982135
33,0.258525479211609
34,0.2585618827484056
35,0.2585125998266216
36,0.25853578647825
37,0.25839514593516333
38,0.25833794450772596
39,0.2582117213305634
40,0.2583355686303649
41,0.2582491119819155
42,0.25816998171653827
43,0.25811698811966727
44,0.25826697593241105
45,0.2581927897547608
46,0.25802878603370966
47,0.2582374440867509
48,0.25815038012860936
49,0.25812026283252976
50,0.25792960882949423
51,0.2580227795630884
52,0.2580252988919266
53,0.2581297090566997
54,0.25801537190673196
55,0.25819402726601437
56,0.25774065444845634
57,0.2578224212661989
58,0.2578639493250389
59,0.2579626984783073
60,0.25795268963204265
61,0.25798424717777574
62,0.25779615820788626
63,0.25797538217832283
64,0.2578316753321111
65,0.25776611027051644
66,0.2578829259855915
67,0.2578800171295971
68,0.25772711448768565
69,0.2576399754200663
70,0.2578172495942126
71,0.257814180002665
72,0.2576755646830683
73,0.25765989071079914
74,0.25777849250002455
75,0.25776245738905884
76,0.2577180344222197
77,0.257651266624043
78,0.2576651147592551
79,0.2577118778597317
80,0.2575714575138682
81,0.25764529163967065
82,0.25761801889265523
83,0.25765420750641366
84,0.2575063260792415
85,0.2575695559318894
86,0.2575851054683423
87,0.25763529653488193
88,0.25754982558712525
89,0.2575114900464696
90,0.2575255350104527
91,0.2574099605080924
92,0.2574042170953903
93,0.25762767783169555
94,0.2575356694839911
95,0.2576295840683014
96,0.25745073739272445
97,0.2574269436061509
98,0.257438076727553
99,0.2574033938300635
